DyadID,ParticipantID,TrialNum,ROI,Coh_PRE,Coh_POST
1,2,5,Parietal,0.422446,0.397897
1,2,5,Left,0.625942,0.600740
1,2,5,Right,0.360558,0.357377
1,2,5,FrontoParietal,0.415616,0.383692
1,2,6,Frontal,0.397810,0.386110
1,2,6,Central,0.491279,0.493458
1,2,6,Parietal,0.428371,0.415800
1,2,6,Left,0.550864,0.596349
1,2,6,Right,0.389644,0.342632
1,2,6,FrontoParietal,0.404906,0.397249
1,2,7,Frontal,0.411414,0.406573
1,2,7,Central,0.515931,0.576619
1,2,7,Parietal,0.412254,0.438950
1,2,7,Left,0.596137,0.635498
1,2,7,Right,0.344082,0.364649
1,2,7,FrontoParietal,0.404196,0.411802
1,2,8,Frontal,0.386659,0.457357
1,2,8,Central,0.542138,0.563810
1,2,8,Parietal,0.450888,0.421543
1,2,8,Left,0.616851,0.607396
1,2,8,Right,0.343604,0.404338
1,2,8,FrontoParietal,0.403954,0.432912
1,2,9,Frontal,0.417744,0.372164
1,2,9,Central,0.536998,0.461429
1,2,9,Parietal,0.417424,0.353312
1,2,9,Left,0.609084,0.540029
1,2,9,Right,0.386308,0.323629
1,2,9,FrontoParietal,0.410819,0.359060
1,2,10,Frontal,0.412223,0.387772
1,2,10,Central,0.456708,0.579040
1,2,10,Parietal,0.383419,0.439596
1,2,10,Left,0.553825,0.639284
1,2,10,Right,0.364347,0.340748
1,2,10,FrontoParietal,0.383128,0.413285
1,2,11,Frontal,0.398222,0.346979
1,2,11,Central,0.481654,0.478503
1,2,11,Parietal,0.417026,0.370117
1,2,11,Left,0.573725,0.532663
1,2,11,Right,0.366626,0.337257
1,2,11,FrontoParietal,0.400314,0.353165
1,2,12,Frontal,0.368431,0.401365
1,2,12,Central,0.468024,0.532452
1,2,12,Parietal,0.398430,0.434982
1,2,12,Left,0.538038,0.618472
1,2,12,Right,0.344419,0.350230
1,2,12,FrontoParietal,0.370205,0.415569
1,2,13,Frontal,0.392011,0.382345
1,2,13,Central,0.515129,0.484948
1,2,13,Parietal,0.399850,0.408655
1,2,13,Left,0.592553,0.562269
1,2,13,Right,0.343215,0.341908
1,2,13,FrontoParietal,0.384657,0.382443
1,2,14,Frontal,0.382251,0.445593
1,2,14,Central,0.520905,0.610085
1,2,14,Parietal,0.411017,0.490875
1,2,14,Left,0.586688,0.680815
1,2,14,Right,0.336316,0.422219
1,2,14,FrontoParietal,0.379500,0.464617
1,2,15,Frontal,0.452311,0.407575
1,2,15,Central,0.593467,0.539782
1,2,15,Parietal,0.442585,0.412725
1,2,15,Left,0.654083,0.606586
1,2,15,Right,0.380951,0.359390
1,2,15,FrontoParietal,0.438192,0.397409
1,2,16,Frontal,0.389462,0.405235
1,2,16,Central,0.429456,0.460157
1,2,16,Parietal,0.349030,0.435155
1,2,16,Left,0.521174,0.607040
1,2,16,Right,0.347359,0.340893
1,2,16,FrontoParietal,0.357087,0.415682
1,2,17,Frontal,0.394790,0.417293
1,2,17,Central,0.522310,0.494933
1,2,17,Parietal,0.420844,0.437360
1,2,17,Left,0.620123,0.661355
1,2,17,Right,0.335866,0.346086
1,2,17,FrontoParietal,0.401216,0.431534
1,2,18,Frontal,0.420267,0.410543
1,2,18,Central,0.554682,0.492777
1,2,18,Parietal,0.395992,0.372901
1,2,18,Left,0.593604,0.566766
1,2,18,Right,0.350323,0.343310
1,2,18,FrontoParietal,0.396871,0.385294
2,1,1,Frontal,0.380655,0.379358
2,1,1,Central,0.513159,0.571734
2,1,1,Parietal,0.309027,0.359837
2,1,1,Left,0.523965,0.564091
2,1,1,Right,0.266592,0.297136
2,1,1,FrontoParietal,0.314616,0.359883
2,1,2,Frontal,0.402423,0.371285
2,1,2,Central,0.520531,0.490310
2,1,2,Parietal,0.347164,0.327110
2,1,2,Left,0.548096,0.543871
2,1,2,Right,0.310484,0.266019
2,1,2,FrontoParietal,0.370823,0.331335
2,1,3,Frontal,0.369572,0.344105
2,1,3,Central,0.467153,0.551164
2,1,3,Parietal,0.362231,0.304605
2,1,3,Left,0.533774,0.528878
2,1,3,Right,0.286963,0.264242
2,1,3,FrontoParietal,0.357162,0.319872
2,1,4,Frontal,0.367304,0.372833
2,1,4,Central,0.477275,0.450332
2,1,4,Parietal,0.339828,0.331038
2,1,4,Left,0.547829,0.519188
2,1,4,Right,0.276484,0.275722
2,1,4,FrontoParietal,0.356439,0.337027
2,1,5,Frontal,0.429405,0.354657
2,1,5,Central,0.470058,0.516396
2,1,5,Parietal,0.407786,0.315931
2,1,5,Left,0.565396,0.538127
2,1,5,Right,0.360578,0.266904
2,1,5,FrontoParietal,0.417890,0.337084
2,1,6,Frontal,0.387757,0.380920
2,1,6,Central,0.445084,0.492284
2,1,6,Parietal,0.310209,0.324465
2,1,6,Left,0.522415,0.582191
2,1,6,Right,0.282018,0.242593
2,1,6,FrontoParietal,0.332102,0.343753
2,1,7,Frontal,0.363935,0.382464
2,1,7,Central,0.413950,0.470318
2,1,7,Parietal,0.297668,0.302433
2,1,7,Left,0.517917,0.524511
2,1,7,Right,0.230924,0.255680
2,1,7,FrontoParietal,0.309449,0.321840
2,1,8,Frontal,0.377025,0.393234
2,1,8,Central,0.347239,0.436289
2,1,8,Parietal,0.295209,0.260451
2,1,8,Left,0.494405,0.457520
2,1,8,Right,0.263420,0.277629
2,1,8,FrontoParietal,0.318478,0.296327
2,1,9,Frontal,0.379956,0.371726
2,1,9,Central,0.374218,0.349352
2,1,9,Parietal,0.298401,0.274410
2,1,9,Left,0.454593,0.463587
2,1,9,Right,0.272745,0.239192
2,1,9,FrontoParietal,0.311069,0.290697
2,1,10,Frontal,0.367713,0.366026
2,1,10,Central,0.348790,0.388702
2,1,10,Parietal,0.275376,0.270113
2,1,10,Left,0.435938,0.441025
2,1,10,Right,0.265446,0.250246
2,1,10,FrontoParietal,0.292262,0.299795
2,1,11,Frontal,0.392327,0.360234
2,1,11,Central,0.408150,0.427358
2,1,11,Parietal,0.266838,0.303585
2,1,11,Left,0.424504,0.478008
2,1,11,Right,0.276216,0.243075
2,1,11,FrontoParietal,0.299208,0.301173
2,1,12,Frontal,0.386935,0.452283
2,1,12,Central,0.435452,0.485191
2,1,12,Parietal,0.277954,0.318779
2,1,12,Left,0.469671,0.550105
2,1,12,Right,0.250779,0.314867
2,1,12,FrontoParietal,0.293430,0.349132
2,1,13,Frontal,0.383938,0.428632
